from type \ to type,5-HTPMPV03,AOTU053,AOTU065,AVLP151,AVLP534,Am1,C2,C3,CB0472,CB0566,CB0592,CB0816,CB3089,CB3790,CL104,CT1,DCH,DN1-l,DN1a,DNc01,DNc02,DNg33,DNp11,DNp27,DNp30,Dm1,Dm10,Dm11,Dm12,Dm13,Dm14,Dm15,Dm16,Dm17,Dm18,Dm19,Dm2,Dm20,Dm3p,Dm3q,Dm3v,Dm4,Dm6,Dm8a,Dm8b,Dm9,DmDRA1,DmDRA2,H1,H2,HSE,HSN,HSS,L1,L2,L3,L4,L5,LAL047,LC10a,LC10b,LC10c,LC10d,LC10e,LC10f,LC11,LC12,LC13,LC14a1,LC14a2,LC14b,LC15,LC16,LC17,LC18,LC19,LC20a,LC20b,LC21,LC22,LC24,LC25,LC26,LC27,LC28a,LC29,LC31a,LC31b,LC31c,LC33a,LC34,LC35,LC36,LC37a,LC39,LC4,LC40,LC41,LC43,LC44,LC45,LC46,LC6,LC9,LCe01,LCe01a,LCe01b,LCe02,LCe03,LCe04,LCe05,LCe06,LCe07,LCe08,LCe09,LHPV2i2a,LLPC1,LLPC2,LLPC3,LLPC4,LLPt,LMTe01,LMa1,LMa2,LMa3,LMa4,LMa5,LMt1,LMt2,LMt3,LMt4,LNda,LPC1,LPC2,LPLC1,LPLC2,LPLC4,LPT04_HST,LPT21,LPT22,LPT23,LPT26,LPT27,LPT28,LPT29,LPT30,LPT31,LPT42_Nod4,LPT45_dCal1,LPT47_vCal2,LPT48_vCal3,LPT49,LPT50,LPT51,LPT52,LPT53,LPT54,LPT57,LPT58,LPTe01,LPTe02,LPi01,LPi02,LPi03,LPi04,LPi05,LPi06,LPi07,LPi08,LPi09,LPi10,LPi11,LPi12,LPi13,LPi14,LPi15,LT11,LT1a,LT1b,LT1c,LT1d,LT33,LT34,LT36,LT37,LT38,LT39,LT40,LT41,LT42,LT43,LT47,LT51,LT52,LT53,LT55,LT56,LT57,LT58,LT59,LT60,LT61a,LT61b,LT62,LT63,LT64,LT65,LT66,LT67,LT68,LT69,LT70,LT72,LT73,LT74,LT75,LT76,LT77,LT78,LT79,LT80,LT81,LT82a,LT83,LT84,LT85,LT86,LT87,LTe01,LTe02,LTe03,LTe04,LTe05,LTe06,LTe07,LTe08,LTe09,LTe10,LTe11,LTe12,LTe13,LTe14,LTe15,LTe16,LTe17,LTe18,LTe19,LTe20,LTe21,LTe22,LTe23,LTe24,LTe25,LTe26,LTe27,LTe28,LTe29,LTe30,LTe31,LTe32,LTe33,LTe35,LTe36,LTe37,LTe38a,LTe38b,LTe38c,LTe40,LTe41,LTe42a,LTe42b,LTe42c,LTe43,LTe44,LTe45,LTe46,LTe47,LTe48,LTe49a,LTe49b,LTe49c,LTe49d,LTe49e,LTe49f,LTe50,LTe51,LTe52,LTe53,LTe54,LTe55,LTe56,LTe57,LTe58,LTe59,LTe60,LTe61,LTe62,LTe63,LTe64,LTe65,LTe66,LTe67,LTe68,LTe69,LTe70,LTe71,LTe72,LTe73,LTe74,LTe75,LTe76,Lai,Lat,Lawf1,Lawf2,Li01,Li02,Li03,Li04,Li05,Li06,Li07,Li08,Li09,Li10,Li11,Li12,Li13,Li14,Li15,Li16,Li17,Li18,Li19,Li20,Li21,Li22,Li23,Li24,Li25,Li26,Li27,Li28,Li29,Li30,Li31,Li32,Li33,MC65,MLt1,MLt2,MLt3,MLt4,MLt5,MLt6,MLt7,MLt8,MTe01a,MTe01b,MTe02,MTe03,MTe04,MTe05,MTe06,MTe07,MTe08,MTe09,MTe10,MTe11,MTe12,MTe13,MTe14,MTe15,MTe16,MTe17,MTe18,MTe19,MTe20,MTe21,MTe22,MTe23,MTe24,MTe25,MTe26,MTe27,MTe28,MTe29,MTe30,MTe31,MTe32,MTe33,MTe34,MTe35,MTe36,MTe37,MTe38,MTe39,MTe40,MTe41,MTe42,MTe43,MTe44,MTe45,MTe46,MTe47,MTe48,MTe49,MTe50,MTe51,MTe52,MTe53,MTe54,MeLp1,MeLp2,MeMe_e01,MeMe_e02,MeMe_e03,MeMe_e04,MeMe_e05,MeMe_e06,MeMe_e07,MeMe_e08,MeMe_e09,MeMe_e10,MeTu1,MeTu2a,MeTu2b,MeTu3a,MeTu3b,MeTu3c,MeTu4a,MeTu4b,MeTu4c,MeTu4d,Mi1,Mi10,Mi13,Mi14,Mi15,Mi2,Mi4,Mi9,Nod1,Nod2,Nod3,Nod5,OA-AL2b1,OA-AL2b2,OA-AL2i1,OA-AL2i2,OA-AL2i3,OA-AL2i4,OA-ASM1,PDt,PLP051,PLP068,PLP215,PLP251,Pm01,Pm02,Pm03,Pm04,Pm05,Pm06,Pm07,Pm08,Pm09,Pm10,Pm11,Pm12,Pm13,Pm14,R1-6,R7,R8,Sm01,Sm02,Sm03,Sm04,Sm05,Sm06,Sm07,Sm08,Sm09,Sm10,Sm11,Sm12,Sm13,Sm14,Sm15,Sm16,Sm17,Sm18,Sm19,Sm20,Sm21,Sm22,Sm23,Sm24,Sm25,Sm26,Sm27,Sm28,Sm29,Sm30,Sm31,Sm32,Sm33,Sm34,Sm35,Sm36,Sm37,Sm38,Sm39,Sm40,Sm41,Sm42,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tlp1,Tlp14,Tlp4,Tlp5,Tm1,Tm16,Tm2,Tm20,Tm21,Tm25,Tm27,Tm3,Tm31,Tm32,Tm33,Tm34,Tm35,Tm36,Tm37,Tm4,Tm5a,Tm5b,Tm5c,Tm5d,Tm5e,Tm5f,Tm7,Tm8a,Tm8b,Tm9,TmY10,TmY11,TmY14,TmY15,TmY16,TmY20,TmY3,TmY31,TmY4,TmY5a,TmY9q,TmY9q⊥,VCH,VS1,VS2,VS3,VS4,VS5,VS6,VS7,VS8,VST1,VST2,VSm,Y1,Y11,Y12,Y3,Y4,aMe1,aMe10,aMe12,aMe13,aMe15,aMe17a1,aMe17a2,aMe17b,aMe17c,aMe19a,aMe19b,aMe20,aMe22,aMe25,aMe26,aMe3,aMe4,aMe5,aMe6a,aMe8,aMe9,cL01,cL02a,cL02b,cL02c,cL02d,cL03,cL04,cL05,cL06,cL07,cL08,cL09,cL10,cL11,cL12,cL13,cL14,cL15,cL16,cL17,cL18,cL19,cL20,cL21,cL22a,cL22b,cL22c,cLLP02,cLLPM01,cLLPM02,cLM01,cLP01,cLP02,cLP03,cLP04,cLP05,cLPL01,cM01a,cM01b,cM01c,cM02a,cM02b,cM03,cM04,cM05,cM07,cM08a,cM08b,cM08c,cM09,cM10,cM12,cM13,cM14,cM15,cM16,cM17,cM18,cM19,cML01,cML02,cMLLP01,cMLLP02,l-LNv,mALC3,mALC4,mALC5,mALC6,mALD1,mALD2,s-LNva,vCal1
LPi14,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,38,12,6,,15,,,,,,,,,,,,155,2,18,110,5,2,2,2,6,2,2,,,,,2,3,2,,1,2,,2,,,,,1,,3,40,,29,84,2,102,1,,42,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,43,418,,1,34,595,3,,128,,92,7,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,25,8,14,26,,,371,5,4,5,2,2,2,,,1,2,2,2,,1,4,26,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
LPi15,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,3,11,,2,,,,,,,,,,,,58,,14,91,24,1,1,1,3,1,1,,,1,4,1,1,1,1,,1,1,1,,,,1,5,,14,47,,2,41,1,51,,,18,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,572,66,1,4,484,60,,,19,,15,27,,,,,,,18,,,,,,,,,,,,,,,,,,,,,5,40,6,45,139,,6,176,2,15,12,1,1,1,1,1,1,1,1,1,1,4,2,80,67,96,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LT11,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,1,4,,,15,1,2,14,,,,10,14,,5,,,2,,3,,,,,4,,,,,,,,,,,,1,,,1,,,,,,5,,,,,,1,,15,,2,10,8,6,1,3,,14,,,,,11,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,,,,,,,,,,,,4,,1,,1,,1,1,1,1,,1,,,,,,,,,,,,1,,1,1,,2,1,,,,1,,,,,,,,,,,,,1,,,,,1,,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,3,12,,,,78,,1,,7,9,4,40,1,2,,11,4,,5,2,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,5,3,,1,,,,,,,,1,,,,1,,,,,,,,1,137,,,,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,
LT1a,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,2,9,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT1b,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,3,7,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
LT1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,,,2,,,,,,5,2,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
LT1d,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1,,,,,,,6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,2,,1,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,2,32,,,1,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT33,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,2,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,608,575,570,549,,,,,1,,5,,1,,,6,,,,,,,,6,,,,,,,,,,12,,,3,25,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
LT34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,65,3,,,,,2,,2,1,7,16,,,,,18,1,40,6,,1,1,28,5,,,,,,2,,4,1,,4,,1,,2,,20,,,11,1,8,10,,1,,1,,,,,1,,,2,,,1,,,,,,1,,,,,,38,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,,,,2,,1,,,,,1,,,,,,,1,,,,,,,1,,,2,,2,,,,,,,,,,,1,,1,,,,,1,,1,1,1,,,,,,,,,,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,6,26,15,,57,2,,1,4,59,29,16,7,,,,,7,,,,,,,,,2,2,1,1,,,1,,,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,91,,,,,,,10,,1,1,3,,48,3,1,2,,6,1,,,1,2,4,,,,,,2,,,1,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
LT36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,4,,,,32,,,1,18,2,,3,,,2,22,,12,,,,1,,,,,,,,,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,6,,,,5,,,,,,,2,1,1,,,,1,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,4,,79,10,,3,,53,1,,10,,,,,,,,,,,,,,2,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,1,1,,,,,,,,,1,30,24,,14,,,,,1,,141,,133,2,9,,,,,,,,,,,,,,,,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
LT37,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,3,34,1,,2,,37,,,9,10,26,,,3,1,2,1,28,5,,1,,12,,,,,1,,4,,3,4,5,1,4,3,2,,,5,5,,1,,,,,,1,,,,,,,6,3,1,,,,3,,,1,,1,,,,,9,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,3,16,2,1,1,2,1,,,,1,,1,3,,,,,,,,2,,1,1,,1,,,,,,1,,,1,1,,,,,,,1,,,1,,,,1,,,,,,,,1,1,,,,,,,1,,,1,,1,1,,2,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,11,18,,,8,35,,5,1,7,2,,29,,,,15,9,,,2,,,,,1,2,1,1,1,1,1,1,,,1,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,1,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,22,,2,,4,,,,,,10,,,1,27,19,,2,16,,1,1,5,7,,,,49,,,9,,1,1,18,37,22,39,3,,,,,,,,,,,,,52,,62,2,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,,1,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT38,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,37,3,18,2,,,2,1,10,7,4,,,,,,,2,,14,,,,,1,1,2,,,,,,1,,,6,,,,,,,,,,,,,,2,,3,,,,,23,1,3,,4,,16,,6,1,,,,10,,,,1,,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,,,1,,,,,,,,4,,,,,,,7,,,,,1,,,,2,1,,,,,,,3,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,1,,,4,,,3,,,,,,,,,1,,,1,5,,,,,,,,,,,,,,,,,18,2,,1,5,11,1,14,13,,15,,,3,9,15,1,,,10,,1,,,,1,,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,,,7,,,,,1,,,1,1,,,,,,1,,,,2,1,,1,,,,,,12,42,,1,4,,3,2,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,,,,1,,,,1,,,,,1,,,,1,,,,,,2,,,,,,,,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,
LT39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,28,5,,,1,27,2,,,47,22,5,,,1,4,1,,,,1,,,,,,,,,,1,2,,1,,,5,,2,,25,35,,,1,,,,,,,,,,,,,,34,,,1,,,,,1,8,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,,,,,,1,,2,1,,,,,,,1,2,,,,,1,,,,,1,,1,1,1,,2,,,,,,2,,,,,,,,,1,,1,1,,,,1,,,,,,1,,,,,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,1,4,,,69,86,2,,,1,3,,3,,2,,,1,,,9,,,,,,2,2,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,6,,,1,1,,1,111,3,,,52,3,9,12,56,2,8,4,,,16,,1,,38,,,21,8,1,1,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,2,1,3,1,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
LT40,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,1,,17,,,2,1,1,12,8,,3,,1,,,,16,,34,,,,,1,5,,,,,,4,1,,1,18,,,,,,,,23,,,,,,,,3,5,,,,31,41,1,1,13,,24,1,,,,,1,13,,,,,2,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,1,,,,1,,,,,,,1,,,,,,,,,,,4,,,,2,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,14,2,,2,,1,,,,,,1,,,,,,,,7,,,3,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,1,,,,12,,1,1,7,,,,,1,,21,49,,,1,1,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
